Labels,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec,,,,
1.67641E+12,1067,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-1,text,TRUE,,1353,1000,5,5,http://127.0.0.1:8888/settings,1058,0,286
1.67641E+12,1425,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-2,text,TRUE,,1353,1000,6,6,http://127.0.0.1:8888/settings,1425,0,289
1.67641E+12,1746,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-3,text,TRUE,,1353,1000,9,9,http://127.0.0.1:8888/settings,1746,0,2
1.67641E+12,998,http://127.0.0.1:8888/load-public-indexes,200,OK,Thread Group 1-1,text,TRUE,,158,382,9,9,http://127.0.0.1:8888/load-public-indexes,998,0,0
1.67641E+12,1852,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-5,text,TRUE,,1353,1000,11,11,http://127.0.0.1:8888/settings,1852,0,1
1.67641E+12,1333,http://127.0.0.1:8888/load-public-indexes,200,OK,Thread Group 1-2,text,TRUE,,158,382,11,11,http://127.0.0.1:8888/load-public-indexes,1333,0,0
1.67641E+12,2471,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-4,text,TRUE,,1353,1000,12,12,http://127.0.0.1:8888/settings,2471,0,2
1.67641E+12,2074,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-6,text,TRUE,,1353,1000,12,12,http://127.0.0.1:8888/settings,2074,0,2
1.67641E+12,1153,http://127.0.0.1:8888/load-public-indexes,200,OK,Thread Group 1-3,text,TRUE,,158,382,12,12,http://127.0.0.1:8888/load-public-indexes,1153,0,0
1.67641E+12,473,http://127.0.0.1:8888/load-public-indexes,200,OK,Thread Group 1-5,text,TRUE,,158,382,12,12,http://127.0.0.1:8888/load-public-indexes,473,0,0
1.67641E+12,1165,http://127.0.0.1:8888/folders?page=1&limit=54&status=1&search=,200,OK,Thread Group 1-1,text,TRUE,,731,403,13,13,http://127.0.0.1:8888/folders?search=&limit=54&page=1&status=1,1165,0,0
1.67641E+12,490,http://127.0.0.1:8888/folders?page=1&limit=54&status=1&search=,200,OK,Thread Group 1-2,text,TRUE,,731,403,13,13,http://127.0.0.1:8888/folders?search=&limit=54&page=1&status=1,490,0,0
1.67641E+12,226,http://127.0.0.1:8888/load-public-indexes,200,OK,Thread Group 1-4,text,TRUE,,158,382,13,13,http://127.0.0.1:8888/load-public-indexes,226,0,0
1.67641E+12,541,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-12,text,TRUE,,1353,1000,13,13,http://127.0.0.1:8888/settings,541,0,2
1.67641E+12,1028,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-11,text,TRUE,,1353,1000,14,14,http://127.0.0.1:8888/settings,1028,0,10
1.67641E+12,2163,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-8,text,TRUE,,1353,1000,15,15,http://127.0.0.1:8888/settings,2162,0,13
1.67641E+12,2598,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-7,text,TRUE,,1353,1000,16,16,http://127.0.0.1:8888/settings,2598,0,3
1.67641E+12,2243,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-9,text,TRUE,,1353,1000,16,16,http://127.0.0.1:8888/settings,2243,0,2
1.67641E+12,2148,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-10,text,TRUE,,1353,1000,17,17,http://127.0.0.1:8888/settings,2148,0,2
1.67641E+12,1295,http://127.0.0.1:8888/load-public-indexes,200,OK,Thread Group 1-6,text,TRUE,,158,382,17,17,http://127.0.0.1:8888/load-public-indexes,1295,0,0
1.67641E+12,1308,http://127.0.0.1:8888/folders?page=1&limit=54&status=1&search=,200,OK,Thread Group 1-5,text,TRUE,,731,403,17,17,http://127.0.0.1:8888/folders?search=&limit=54&page=1&status=1,1308,0,0
1.67641E+12,1308,http://127.0.0.1:8888/orbitdb-requested-files?page=1&limit=25&sort=created_at&search=&start_date=&end_date=,200,OK,Thread Group 1-1,text,TRUE,,149,448,17,17,http://127.0.0.1:8888/orbitdb-requested-files?end_date=&search=&limit=25&page=1&sort=created_at&start_date=,1308,0,0
1.67641E+12,1337,http://127.0.0.1:8888/folders?page=1&limit=54&status=1&search=,200,OK,Thread Group 1-3,text,TRUE,,731,403,17,17,http://127.0.0.1:8888/folders?search=&limit=54&page=1&status=1,1337,0,0
1.67641E+12,1321,http://127.0.0.1:8888/orbitdb-requested-files?page=1&limit=25&sort=created_at&search=&start_date=&end_date=,200,OK,Thread Group 1-2,text,TRUE,,149,448,17,17,http://127.0.0.1:8888/orbitdb-requested-files?end_date=&search=&limit=25&page=1&sort=created_at&start_date=,1321,0,0
1.67641E+12,1086,http://127.0.0.1:8888/load-public-indexes,200,OK,Thread Group 1-12,text,TRUE,,158,382,17,17,http://127.0.0.1:8888/load-public-indexes,1086,0,0
1.67641E+12,891,http://127.0.0.1:8888/load-public-indexes,200,OK,Thread Group 1-11,text,TRUE,,158,382,17,17,http://127.0.0.1:8888/load-public-indexes,891,0,0
1.67641E+12,650,http://127.0.0.1:8888/load-public-indexes,200,OK,Thread Group 1-8,text,TRUE,,158,382,17,17,http://127.0.0.1:8888/load-public-indexes,650,0,0
1.67641E+12,457,http://127.0.0.1:8888/load-public-indexes,200,OK,Thread Group 1-7,text,TRUE,,158,382,17,17,http://127.0.0.1:8888/load-public-indexes,457,0,0
1.67641E+12,278,http://127.0.0.1:8888/load-public-indexes,200,OK,Thread Group 1-9,text,TRUE,,158,382,17,17,http://127.0.0.1:8888/load-public-indexes,278,0,0
1.67641E+12,86,http://127.0.0.1:8888/folders?page=1&limit=54&status=1&search=,200,OK,Thread Group 1-6,text,TRUE,,731,403,17,17,http://127.0.0.1:8888/folders?search=&limit=54&page=1&status=1,86,0,0
1.67641E+12,90,http://127.0.0.1:8888/load-public-indexes,200,OK,Thread Group 1-10,text,TRUE,,158,382,17,17,http://127.0.0.1:8888/load-public-indexes,90,0,0
1.67641E+12,1351,http://127.0.0.1:8888/folders?page=1&limit=54&status=1&search=,200,OK,Thread Group 1-4,text,TRUE,,731,403,17,17,http://127.0.0.1:8888/folders?search=&limit=54&page=1&status=1,1351,0,0
1.67641E+12,1564,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-13,text,TRUE,,1353,1000,18,18,http://127.0.0.1:8888/settings,1564,0,1
1.67641E+12,594,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-17,text,TRUE,,1353,1000,19,19,http://127.0.0.1:8888/settings,593,0,2
1.67641E+12,1353,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-15,text,TRUE,,1353,1000,19,19,http://127.0.0.1:8888/settings,1353,0,1
1.67641E+12,1884,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-14,text,TRUE,,1353,1000,20,20,http://127.0.0.1:8888/settings,1884,0,1
1.67641E+12,1557,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-16,text,TRUE,,1353,1000,21,21,http://127.0.0.1:8888/settings,1557,0,1
1.67641E+12,1133,http://127.0.0.1:8888/orbitdb-requested-files?page=1&limit=25&sort=created_at&search=&start_date=&end_date=,200,OK,Thread Group 1-5,text,TRUE,,149,448,21,21,http://127.0.0.1:8888/orbitdb-requested-files?end_date=&search=&limit=25&page=1&sort=created_at&start_date=,1133,0,0
1.67641E+12,1137,http://127.0.0.1:8888/bookmarks?page=1&limit=25&sort=created_at&extension=all&search=&start_date=&end_date=,200,OK,Thread Group 1-1,text,TRUE,,398,448,21,21,http://127.0.0.1:8888/bookmarks?end_date=&extension=all&search=&limit=25&page=1&sort=created_at&start_date=,1137,0,0
