Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Thread Group:http://127.0.0.1:8888/settings,2,137,10,265,265,265,10,265,0.000%,5.22193,7.24,3.50
Thread Group:http://127.0.0.1:8888/load-public-indexes,1,3,3,3,3,3,3,3,0.000%,333.33333,55.34,124.35
Thread Group:http://127.0.0.1:8888/folders?page=1&limit=54&status=1&search=,2,26,11,42,42,42,11,42,0.000%,.06425,0.05,0.03
Thread Group:http://127.0.0.1:8888/orbitdb-requested-files?page=1&limit=25&sort=created_at&search=&start_date=&end_date=,1,19,19,19,19,19,19,19,0.000%,52.63158,7.66,23.03
Thread Group:http://127.0.0.1:8888/bookmarks?page=1&limit=25&sort=created_at&extension=all&search=&start_date=&end_date=,1,18,18,18,18,18,18,18,0.000%,55.55556,21.59,24.31
Thread Group:http://127.0.0.1:8888/public-index,1,8,8,8,8,8,8,8,0.000%,125.00000,20.51,45.78
Thread Group:http://127.0.0.1:8888/default-interests,1,3,3,3,3,3,3,3,0.000%,333.33333,103.52,123.70
Thread Group:http://127.0.0.1:8888/folders?page=1&limit=54&status=0&search=,2,11,11,11,11,11,11,11,0.000%,.06445,0.05,0.03
Thread Group:http://127.0.0.1:8888/folders/details?page=1&limit=25&search=,1,22,22,22,22,22,22,22,0.000%,45.45455,1305.93,25.17
Thread Group:http://127.0.0.1:8888/folders/delete,1,5,5,5,5,5,5,5,100.000%,200.00000,43.75,84.18
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=Boat&content_type=all&search_type=public&sort=modified_at,1,3490,3490,3490,3490,3490,3490,3490,0.000%,.28653,4.95,0.13
Thread Group:http://127.0.0.1:8888/public-stats,1,30,30,30,30,30,30,30,0.000%,33.33333,12.76,12.21
Thread Group:http://127.0.0.1:8888/files-stats,1,15,15,15,15,15,15,15,0.000%,66.66667,19.79,24.35
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=&content_type=all&search_type=public&sort=modified_at,2,1534,1467,1602,1602,1602,1467,1602,0.000%,.06915,0.89,0.03
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=&content_type=videos&search_type=public&sort=modified_at,1,53,53,53,53,53,53,53,0.000%,18.86792,222.03,8.44
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=&content_type=docs&search_type=public&sort=modified_at,1,1583,1583,1583,1583,1583,1583,1583,0.000%,.63171,9.98,0.28
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=&content_type=transcriptions&search_type=public&sort=modified_at,1,37,37,37,37,37,37,37,0.000%,27.02703,318.76,12.30
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=&content_type=images&search_type=public&sort=modified_at,1,42,42,42,42,42,42,42,0.000%,23.80952,279.92,10.65
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=&content_type=all&search_type=local&sort=modified_at,1,39,39,39,39,39,39,39,0.000%,25.64103,212.11,11.37
Thread Group:http://127.0.0.1:8888/files/edit,1,7,7,7,7,7,7,7,0.000%,142.85714,23.16,81.33
Thread Group:http://127.0.0.1:8888/bookmarks,1,20,20,20,20,20,20,20,0.000%,50.00000,6.49,29.49
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=%20Transportable%20Port%20Security%20Boat&content_type=all&search_type=public&sort=modified_at,1,9552,9552,9552,9552,9552,9552,9552,0.000%,.10469,1.75,0.05
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=Thekkady%20boat%20disaster&content_type=all&search_type=public&sort=modified_at,1,10177,10177,10177,10177,10177,10177,10177,0.000%,.09826,0.38,0.05
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=boat%20disaster&content_type=all&search_type=public&sort=modified_at,1,4079,4079,4079,4079,4079,4079,4079,0.000%,.24516,4.09,0.11
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=boat%20disaster&content_type=images&search_type=public&sort=modified_at,1,56,56,56,56,56,56,56,0.000%,17.85714,2.60,8.21
Thread Group:http://127.0.0.1:8888/search-indexing?page=1&limit=25&search=boat%20disaster&content_type=transcriptions&search_type=public&sort=modified_at,1,56,56,56,56,56,56,56,0.000%,17.85714,2.60,8.35
Thread Group:http://127.0.0.1:8888/orbitdb-received-request-files?page=1&limit=25&sort=created_at&search=&start_date=&end_date=,1,18,18,18,18,18,18,18,0.000%,55.55556,8.08,24.69
Thread Group:http://127.0.0.1:8888/public-index/bafkreicce5hmi2urus6qxs5abjckkliqvawfiqr4u7l2ndn3n7jyrubs7e,1,9,9,9,9,9,9,9,0.000%,111.11111,18.88,56.32
Thread Group:http://127.0.0.1:8888/bookmarks/delete,1,3,3,3,3,3,3,3,100.000%,333.33333,72.92,140.95
